,,code_comment_count,code_comment_deprecated_count,code_comment_deprecated_ratio,code_comment_explanation_count,code_comment_explanation_ratio,code_comment_future work_count,code_comment_future work_ratio,issue_comment_bug report_count,issue_comment_bug report_ratio,issue_comment_conclusion_count,issue_comment_conclusion_ratio,issue_comment_count,issue_comment_discussion_count,issue_comment_discussion_ratio,issue_comment_feature request_count,issue_comment_feature request_ratio,issue_comment_question_count,issue_comment_question_ratio,issue_comment_solution_count,issue_comment_solution_ratio,positivity_ratio,star_count_end,star_count_start,star_growth_rate
2010Q1,django/django,20.0,1.0,0.05,18.0,0.9,1.0,0.05,,,,,,,,,,,,,,0.15,0.0,0.0,0.0
2010Q1,rails/rails,37.0,2.0,0.05405405405405406,34.0,0.918918918918919,1.0,0.02702702702702703,,,,,,,,,,,,,,0.1891891891891892,6669.0,6336.0,0.05255681818181812
2010Q2,django/django,11.0,,,11.0,1.0,,,,,,,,,,,,,,,,0.18181818181818182,0.0,0.0,0.0
2010Q2,pallets/flask,102.0,,,96.0,0.9411764705882353,6.0,0.058823529411764705,,,,,,,,,,,,,,0.18627450980392157,271.0,0.0,0.0
2010Q3,django/django,27.0,2.0,0.07407407407407407,22.0,0.8148148148148148,3.0,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,0.0,0.0,0.0
2010Q3,pallets/flask,40.0,,,39.0,0.975,1.0,0.025,,,,,,,,,,,,,,0.125,710.0,394.0,0.8020304568527918
2010Q4,django/django,41.0,3.0,0.07317073170731707,37.0,0.9024390243902439,1.0,0.024390243902439025,,,,,,,,,,,,,,0.0975609756097561,0.0,0.0,0.0
2010Q4,pallets/flask,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,0.0,914.0,914.0,0.0
2010Q4,rails/rails,19.0,2.0,0.10526315789473684,17.0,0.8947368421052632,,,,,,,,,,,,,,,,0.10526315789473684,8764.0,8490.0,0.03227326266195529
2011Q1,django/django,14.0,,,13.0,0.9285714285714286,1.0,0.07142857142857142,,,,,,,,,,,,,,0.07142857142857142,0.0,0.0,0.0
2011Q1,pallets/flask,7.0,,,6.0,0.8571428571428571,1.0,0.14285714285714285,,,,,,,,,,,,,,0.0,1570.0,1380.0,0.1376811594202898
2011Q1,rails/rails,45.0,,,44.0,0.9777777777777777,1.0,0.022222222222222223,,,,,,,,,,,,,,0.2222222222222222,9967.0,9777.0,0.019433364017592325
2011Q2,django/django,16.0,,,16.0,1.0,,,,,,,,,,,,,,,,0.25,0.0,0.0,0.0
2011Q2,pallets/flask,28.0,,,27.0,0.9642857142857143,1.0,0.03571428571428571,,,,,,,,,,,,,,0.10714285714285714,1977.0,1746.0,0.13230240549828176
2011Q2,rails/rails,286.0,17.0,0.05944055944055944,244.0,0.8531468531468531,25.0,0.08741258741258741,,,,,,,,,,,,,,0.22377622377622378,10393.0,10156.0,0.02333595903899166
2011Q2,twbs/bootstrap,28.0,,,27.0,0.9642857142857143,1.0,0.03571428571428571,,,,,,,,,,,,,,0.4642857142857143,21270.0,21270.0,0.0
2011Q3,django/django,15.0,,,14.0,0.9333333333333333,1.0,0.06666666666666667,,,,,,,,,,,,,,0.26666666666666666,0.0,0.0,0.0
2011Q3,pallets/flask,34.0,1.0,0.029411764705882353,30.0,0.8823529411764706,3.0,0.08823529411764706,,,,,,,,,,,,,,0.23529411764705882,2439.0,2068.0,0.1794003868471954
2011Q3,twbs/bootstrap,6.0,,,5.0,0.8333333333333334,1.0,0.16666666666666666,,,,,,,,,,,,,,0.3333333333333333,24298.0,21270.0,0.14236013164080874
2011Q4,django/django,12.0,,,12.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2011Q4,pallets/flask,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,0.0,2719.0,2719.0,0.0
2011Q4,twbs/bootstrap,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,0.5,27797.0,26940.0,0.03181143281366006
2012Q1,django/django,9.0,,,9.0,1.0,,,,,,,,,,,,,,,,0.1111111111111111,0.0,0.0,0.0
2012Q1,pallets/flask,12.0,1.0,0.08333333333333333,11.0,0.9166666666666666,,,,,,,,,,,,,,,,0.16666666666666666,3199.0,2900.0,0.10310344827586215
2012Q1,twbs/bootstrap,14.0,1.0,0.07142857142857142,13.0,0.9285714285714286,,,,,,,,,,,,,,,,0.07142857142857142,28983.0,28851.0,0.00457523136113136
2012Q2,django/django,11.0,,,10.0,0.9090909090909091,1.0,0.09090909090909091,,,,,,,,,,,,,,0.2727272727272727,520.0,0.0,0.0
2012Q2,pallets/flask,20.0,2.0,0.1,17.0,0.85,1.0,0.05,,,,,,,,,,,,,,0.05,3678.0,3321.0,0.10749774164408321
2012Q2,twbs/bootstrap,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,0.0,31537.0,31537.0,0.0
2012Q3,django/django,13.0,1.0,0.07692307692307693,10.0,0.7692307692307693,2.0,0.15384615384615385,,,,,,,,,,,,,,0.15384615384615385,1960.0,1200.0,0.6333333333333333
2012Q3,pallets/flask,3.0,,,3.0,1.0,,,,,,,,,,,,,,,,0.0,3882.0,3882.0,0.0
2012Q3,rails/rails,,,,,,,,,,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,,,1.0,0.3333333333333333,,,0.0,14117.0,13956.0,0.011536256807108014
2012Q3,twbs/bootstrap,221.0,8.0,0.03619909502262444,183.0,0.8280542986425339,30.0,0.13574660633484162,,,,,,,,,,,,,,0.19909502262443438,34059.0,33537.0,0.015564898470346256
